Job Title,Company,Experience Required,Location,Rating,Salary Disclosure,Min Experience,Max Experience,Min Salary,Max Salary
Data Analyst,Capco,3-6 Yrs,"New Delhi, Pune, Bangalore",3.7,Not Disclosed,3.0,6.0,,
Data Analyst,Boston Consulting Group,2-4 Yrs,New Delhi,3.8,Not Disclosed,2.0,4.0,,
Data Analyst,Confidential,4-9 Yrs,"New Delhi, Pune, Bangalore",Not Rated,Not Disclosed,4.0,9.0,,
Data Analyst,Confidential,4-9 Yrs,"New Delhi, Pune, Bangalore",Not Rated,Not Disclosed,4.0,9.0,,
Data Analyst,Incanus Technologies,1-6 Yrs,"New Delhi, Pune, Bangalore",3.8,Disclosed,1.0,6.0,5.0,15.0
Data Analyst,Addverb Technologies,1-3 Yrs,New Delhi,3.9,Not Disclosed,1.0,3.0,,
Data Analyst,S&P Global Inc.,2-4 Yrs,New Delhi,4.1,Not Disclosed,2.0,4.0,,
Data Analyst,S&P Global Inc.,2-4 Yrs,New Delhi,4.1,Not Disclosed,2.0,4.0,,
Data Analyst,S&P Global Inc.,2-4 Yrs,New Delhi,4.1,Not Disclosed,2.0,4.0,,
Data Analyst,S&P Global Inc.,2-4 Yrs,New Delhi,4.1,Not Disclosed,2.0,4.0,,
Data Analyst,S&P Global Inc.,2-5 Yrs,New Delhi,4.1,Not Disclosed,2.0,5.0,,
Data Analyst,Maruti Suzuki,3-8 Yrs,New Delhi,4.2,Not Disclosed,3.0,8.0,,
Data Analyst,Bluecore Software,1-4 Yrs,"New Delhi, Pune, Bangalore",4.1,Not Disclosed,1.0,4.0,,
Data Analyst,Mindpeers,1-3 Yrs,"New Delhi, Pune, Bangalore",2.1,Not Disclosed,1.0,3.0,,
Data Analyst,Confidential,8-13 Yrs,"New Delhi, Bangalore",Not Rated,Disclosed,8.0,13.0,14.0,24.0
Data Analyst,Bluecore Software,2-3 Yrs,"New Delhi, Pune, Bangalore",4.1,Not Disclosed,2.0,3.0,,
Data Analyst,Confidential,3-7 Yrs,"New Delhi, Pune, Bangalore",Not Rated,Not Disclosed,3.0,7.0,,
Data Analyst,Riskspan,3-5 Yrs,"New Delhi, Pune, Bangalore",4.0,Not Disclosed,3.0,5.0,,
Data Analyst,Confidential,2-7 Yrs,"New Delhi, Pune, Bangalore",Not Rated,Not Disclosed,2.0,7.0,,
Data Analyst,Confidential,3-6 Yrs,"New Delhi, Pune, Bangalore",Not Rated,Not Disclosed,3.0,6.0,,
Data Analyst,Confidential,3-6 Yrs,"New Delhi, Pune, Bangalore",Not Rated,Not Disclosed,3.0,6.0,,
Data Analyst,Confidential,3-5 Yrs,New Delhi,Not Rated,Not Disclosed,3.0,5.0,,
Data Analyst,Confidential,3-8 Yrs,"New Delhi, Bangalore",Not Rated,Not Disclosed,3.0,8.0,,
Data Analyst,Confidential,6-9 Yrs,"New Delhi, Pune, Bangalore",Not Rated,Not Disclosed,6.0,9.0,,
Data Analyst,Confidential,1-2 Yrs,New Delhi,Not Rated,Not Disclosed,1.0,2.0,,
Data Analyst,Maruti Suzuki,3-6 Yrs,New Delhi,4.2,Not Disclosed,3.0,6.0,,
Data Analyst,VJL IT,10-20 Yrs,New Delhi,2.6,Disclosed,10.0,20.0,20.0,30.0
Data Analyst,S L Fasteners,1-3 Yrs,New Delhi,4.2,Disclosed,1.0,3.0,2.25,4.0
Data Analyst,Confidential,1-4 Yrs,New Delhi,Not Rated,Not Disclosed,1.0,4.0,,
Data Analyst,DecisionTree Analytics and Services Private Limited,1-3 Yrs,New Delhi,3.8,Not Disclosed,1.0,3.0,,
Data Analyst,Confidential,3-8 Yrs,New Delhi,Not Rated,Disclosed,3.0,8.0,4.0,8.5
Data Analyst,Diensten Tech Limited,1-3 Yrs,New Delhi,3.3,Not Disclosed,1.0,3.0,,
Data Analyst,Development Alternatives,2-7 Yrs,New Delhi,2.7,Not Disclosed,2.0,7.0,,
Data Analyst,Confidential,2-5 Yrs,New Delhi,Not Rated,Not Disclosed,2.0,5.0,,
Data Analyst,Environmental Resources Management (ERM),2-4 Yrs,New Delhi,3.3,Not Disclosed,2.0,4.0,,
Data Analyst,Confidential,2-3 Yrs,New Delhi,Not Rated,Not Disclosed,2.0,3.0,,
Data Analyst,Renoirce Technologies,7-12 Yrs,Remote,5.0,Disclosed,7.0,12.0,16.0,25.0
Data Analyst,United Airlines,2-6 Yrs,New Delhi,4.1,Not Disclosed,2.0,6.0,,
Data Analyst,Thinksys Software,5-10 Yrs,Remote,3.8,Disclosed,5.0,10.0,18.0,30.0
Data Analyst,Omuni,2-6 Yrs,New Delhi,3.1,Not Disclosed,2.0,6.0,,
Data Analyst,Advatix Apac Logistics,3-6 Yrs,New Delhi,3.2,Not Disclosed,3.0,6.0,,
Data Analyst,Confidential,3-8 Yrs,New Delhi,Not Rated,Not Disclosed,3.0,8.0,,
Data Analyst,EDF International Networks,10-12 Yrs,New Delhi,4.2,Not Disclosed,10.0,12.0,,
Data Analyst,Nexg Iot Solutions,5-9 Yrs,New Delhi,3.9,Not Disclosed,5.0,9.0,,
Data Analyst,Shubhashray Housing India,1-3 Yrs,New Delhi,4.2,Not Disclosed,1.0,3.0,,
Data Analyst,Confidential,1-3 Yrs,New Delhi,Not Rated,Not Disclosed,1.0,3.0,,
Data Analyst,Techplus Media,2-3 Yrs,New Delhi,3.2,Not Disclosed,2.0,3.0,,
Data Analyst,Mindpeers,1-3 Yrs,New Delhi,2.1,Not Disclosed,1.0,3.0,,
Data Analyst,Nits Solutions,1-3 Yrs,New Delhi,3.1,Not Disclosed,1.0,3.0,,
